# XLAMB2	YLAMB2
292297.800	2420235.500
292245.600	2420180.500
292231.800	2420136.500
292229.100	2420001.700
292234.600	2419938.300
292289.600	2419866.900
292336.300	2419825.500
292336.300	2419800.800
292325.200	2419762.300
292292.300	2419740.300
292270.300	2419740.300
292223.500	2419759.500
292168.500	2419770.500
292086.000	2419770.500
292022.600	2419770.500
291948.400	2419751.300
291904.300	2419696.200
291841.000	2419509.100
291832.800	2419429.400
291838.300	2419390.700
291882.300	2419313.700
291931.800	2419250.400
291970.400	2419220.100
292041.900	2419206.400
292097.000	2419189.900
292146.500	2419159.600
292174.000	2419134.800
292187.700	2419093.500
292185.000	2419052.300
292163.000	2419008.200
292127.200	2418994.400
292080.400	2418999.900
292036.400	2419013.800
291975.900	2419022.000
291926.300	2419013.900
291879.500	2418975.300
291854.800	2418934.000
291841.000	2418881.700
291849.300	2418856.800
291898.800	2418840.300
291948.400	2418837.700
291970.400	2418829.300
291967.600	2418768.800
291995.100	2418578.900
292011.600	2418554.100
292022.600	2418540.500
292030.900	2418455.200
292024.100	2418409.900
292011.600	2418325.800
292072.100	2418320.300
292127.200	2418298.200
292207.000	2418226.700
292363.700	2418163.400
292394.200	2418144.100
292429.900	2418058.900
292427.100	2418001.000
292394.200	2417954.300
292366.600	2417910.300
292347.300	2417863.400
292347.300	2417813.900
292363.800	2417778.200
292424.400	2417706.600
292482.200	2417599.200
292542.700	2417472.600
292614.300	2417409.400
292713.400	2417351.600
292740.900	2417310.300
292743.600	2417277.300
292729.900	2417233.300
292707.900	2417200.200
292614.300	2417145.200
292578.500	2417120.400
292465.700	2417103.900
292174.000	2416977.400
292014.400	2416881.000
291945.600	2416817.900
291918.000	2416765.400
291860.300	2416691.200
291846.500	2416608.600
291832.800	2416556.300
291799.800	2416520.600
291686.900	2416443.500
291582.300	2416240.000
291563.100	2416220.600
291546.600	2416223.400
291497.000	2416234.500
291392.500	2416234.500
291351.200	2416231.500
291298.900	2416212.300
291232.900	2416173.800
291133.800	2416077.500
291065.000	2416038.900
291018.200	2416019.700
290927.400	2416019.700
290872.400	2416011.400
290814.600	2415992.300
290751.300	2415950.800
290704.500	2415904.100
290682.500	2415846.300
290624.700	2415678.600
290608.200	2415562.900
290594.400	2415521.500
290566.900	2415477.500
290544.900	2415441.900
290547.700	2415384.100
290577.900	2415224.400
290605.400	2415075.800
290638.400	2414982.200
290646.800	2414962.900
290630.200	2414918.900
290517.400	2414767.700
290749.600	2413783.700
290016.100	2413749.100
289971.600	2413297.800
290438.900	2413053.300
291119.200	2411133.800
291490.800	2410440.600
295650.800	2408887.700
296723.700	2408520.700
297259.900	2409213.500
297513.200	2408465.600
299370.600	2408767.400
300474.000	2408633.100
304145.100	2408763.000
307147.500	2409460.500
309187.000	2410720.000
309206.100	2411121.000
309746.300	2410979.500
310179.600	2411537.500
310624.600	2411194.100
311658.000	2411417.400
313221.300	2411116.300
314576.700	2411056.800
315892.900	2410520.200
315925.500	2411524.300
316379.000	2411552.400
316594.100	2410848.500
317160.200	2410680.200
317660.400	2410682.000
317788.300	2410221.400
318266.900	2410296.400
319218.200	2410254.400
318765.200	2410968.600
319343.600	2411182.800
320441.900	2410535.800
320558.700	2411201.000
321661.200	2411416.000
322597.900	2411662.100
322929.500	2411599.700
324338.000	2411705.600
324736.800	2411520.400
325266.100	2411688.700
325987.600	2411178.100
326208.600	2411384.100
326802.400	2411333.800
327043.700	2410700.800
327224.500	2410405.600
327698.000	2410312.800
327016.000	2412042.700
326584.200	2411942.100
326052.000	2412420.300
325125.400	2412484.900
324849.400	2412784.300
323744.200	2413215.900
323734.300	2413647.300
324172.900	2414681.600
323963.600	2414834.400
323052.900	2414658.900
322848.700	2414236.900
322229.600	2414240.100
321721.200	2413256.900
321151.300	2413305.900
321050.200	2413861.000
321194.000	2414620.900
320433.500	2415396.400
319720.100	2415427.900
319314.000	2416116.100
318502.100	2416055.900
317541.300	2416529.000
316770.200	2417712.100
316706.200	2418672.600
316361.600	2419789.200
316167.700	2420420.100
315412.100	2422081.400
314662.900	2421922.900
313573.000	2422641.000
312513.900	2423764.900
312581.900	2424384.300
312382.500	2424847.900
312619.200	2425531.900
312679.800	2426170.500
312764.200	2427057.800
312789.500	2430025.600
312853.200	2430830.000
312875.900	2431309.900
312884.800	2431341.800
312797.300	2431832.600
312804.500	2431876.800
312799.400	2431907.100
312795.700	2431929.400
312742.500	2431997.000
312715.500	2432056.000
312720.600	2432100.100
312676.900	2432139.300
312692.200	2432183.300
312632.400	2432231.000
312579.000	2432286.500
